total_box,budget,release_coverage,pindex
80070736,6.00E+07,0.084514145,3344318
58697076,6.00E+07,0.094090705,3344319
50577412,6.00E+07,0.084768245,3344335
5145823,0,0.041793491,3344402
65187603,1.95E+08,0.088072157,3344412
117229692,2.00E+07,0.079428138,3344689
72778712,11500000,0.079734479,3344697
64255312,5.00E+06,0.070948218,3344701
13960394,0,0.012644994,3344763
39673162,1.20E+07,0.051529892,3344774
2049769,0,0.004755464,3344846
26118851,0,0.053078021,3345031
9851610,0,0.07772151,3345168
40491165,0,0.055183499,3345487
5741,0,8.23E-05,3345807
1943751,0,0.037578542,3346121
2592,0,2.50E-05,3346122
12522,0,0.000206005,3346142
4956401,4.50E+07,0.032318009,3346206
17992,0,5.00E-05,3346571
28946127,0,0.076284013,3346613
101368,0,0.000299955,3346871
19889299,1.00E+07,0.056895341,3347283
5200601,0,0.001177222,3347346
11242660,0,0.008059626,3347348
1513793,0,0.030118982,3347372
6840,0,5.06E-05,3347617
410465,0,0.000649903,3347648
62658220,7.20E+07,0.064954362,3348201
1294,0,5.04E-05,3348377
162434410,1.20E+08,0.100537661,3348381
15935068,0,0.052875985,3348406
19472057,0,0.076102456,3348424
13121555,1.10E+07,0.052920633,3348451
20851521,0,0.030124771,3348461
60231,0,7.51E-05,3348594
1061,0,2.50E-05,3348630
3117085,3500000,0.021572271,3348763
20763013,0,0.071034878,3348802
30085147,2.20E+07,0.077874162,3348824
14836,0,0.000277344,3348934
7634,0,2.58E-05,3349039
256242,0,0.000177126,3350295
37904175,1.00E+07,0.082915564,3350644
35667218,1.70E+07,0.087629734,3350649
4269426,0,0.012961091,3350864
2473668,0,0.0126064,3350872
3487767,0,0.002262687,3350884
2184640,5.00E+06,0.060415938,3351150
16204793,1.60E+07,0.069788189,3351361
4704,0,5.00E-05,3351472
153952592,5.00E+07,0.085129999,3351940
47047013,4.00E+07,0.072704975,3352049
25268157,3.50E+07,0.049979415,3352062
4268,0,8.42E-05,3352065
8020721,0,0.000824505,3352103
902544,0,0.001353638,3352562
20183,0,7.58E-05,3352615
1302067,2500000,0.002558509,3352714
20305841,0,0.065759637,3352888
46437,0,0.000403409,3353238
70405498,0,0.056617558,3353287
13015,0,2.53E-05,3354110
340911,0,0.001873876,3354372
36039,0,0.000658707,3354379
108807,0,0.000541321,3354477
3783003,3.00E+07,0.035370377,3354505
80936232,3.00E+07,0.088745564,3354539
30283,0,0.00019988,3354552
230069,0,0.00014935,3354589
60592389,6.00E+07,0.080858363,3354899
202348,0,0.005030534,3354991
2552478,0,0.002021223,3355139
18034150,0,0.056864133,3355529
2930687,0,0.002909919,3355657
16131410,1.20E+07,0.059489306,3355838
120808,0,0,3355913
647280,0,0.001524086,3355965
373375,0,0.00119928,3355992
27087695,17700000,0.074297302,3356079
468684,0,0.000907117,3356121
22771646,3.80E+07,0.070889427,3356237
60279,0,0.00048477,3356246
39404261,0,0.075669774,3356256
4619014,0,0.050856009,3356272
73078100,2.50E+08,0.094523725,3356840
141951,0,0.000479048,3356895
3600616,0,0.037815785,3357087
71756802,3.60E+07,0.070191661,3357197
41011711,1.80E+07,0.066796824,3357265
43037835,2.00E+07,0.064796276,3357305
17550399,0,0.051623503,3357450
28082366,4.00E+07,0.062720898,3357552
8305970,4.50E+07,0.039262254,3357553
7237794,0,0.035469657,3357603
19075720,2.60E+07,0.073088388,3357653
90091,0,4.06E-05,3357719
50789,0,0.000269079,3357812
31203964,1.20E+07,0.036393578,3357823
10547117,4.70E+07,0.071482794,3358344
25581229,1.40E+07,0.045533513,3358355
