InvestorId,Investor_Name,successful_investments
100154-26,FiddleFly,
100154-71,Kvist Industries,
10015-48,Apprise Media,4
100155-52,Thomas Petroleum,
10015-57,Proskauer Rose,2
100155-70,Weldrack,
100155-88,Eesti Keskkonnateenused,
100156-33,Bryce Baker,
100156-42,NorthEdge,
100156-78,RH Rentals,
100157-14,IMT Starter,8
100157-23,Dangold Investment,
10015-75,UBM Canon,2
100159-21,Certified Heat Treating,
10015-93,Brynwood Partners,28
100159-84,Loyal Pride,1
100160-02,Dynamic Grand,1
100160-11,Kvant,
100160-74,Mayflower Capital,
100160-83,Edward Hands & Lewis,
100161-01,CalderPeel FGP Architects,
100161-10,CHI & Partners,
100161-91,Impact Partnership,
10016-29,eInstruction,
100163-80,Quad Management 4,
100163-98,Mink Island Enterprises,
100164-07,GXP,
100164-34,KIT Finance Investment Bank,3
100164-43,Mighty Chief,1
100164-70,China Star Entertainment,4
100164-88,Alternative Wealth Investments,1
100164-97,Cresa Patrimonial,
100165-06,Rosy Mile,1
100165-15,Artea,
100165-33,Yale Industrial Trucks Pittsburgh,
100165-42,iDyls,
100166-41,La Société Minière de Kilo-Moto,1
100166-50,Rally Elite,
100166-86,Trinfinco Investment Co.,1
10016-74,Cerberus Capital Management,185
100167-40,Just Minerals,
10016-83,Grant Thornton,8
100168-84,Perga-Plastic,
100169-20,The Children's Investment Fund Management,1
100169-83,Cressy & Everett,
10017-01,AxleTech International,
100170-82,suki.international,1
10017-10,AEA Investors,103
10017-19,Centre Partners,75
100172-35,Südostschweiz Presse und Print,
100172-71,Design Center Signs,
10017-28,Arbor Investments,26
100172-89,Ouro Preto Oleo e Gas,
100173-70,Medicine Valley Transport,
100173-79,Participations Besançon,
100173-88,Somedia,
100174-51,Traiteur Tradition Catering,
10017-55,Behrman Capital,33
100175-68,Navajo Transitional Energy Company,
100177-03,Rivulis,
100177-48,Ventureworks,1
100178-56,Glander International Bunkering,
100178-65,HYZL Development,
100178-74,WaveFire,
100178-92,HYZL Investment,
10017-91,EAG Laboratories,
100179-10,Politejo Industria de Plasticos,
100179-19,Diamond Gate Group,
100179-28,Even Spread,1
100179-37,Plomifera Castellana,2
100179-55,HPL Property Investments,2
100179-91,Nanjing Pharmaceutical Company,
10018-00,Bezeq Israel Telecommunications,3
100180-00,Wassenburg Medical,
100180-18,Comision Nacional del Mercado de Valores,
100180-36,Intersystems Group,
100180-63,Tedea Technological Development and Automation,2
10018-09,The AZEK Company,
100181-62,Boma and Theilmann Holdings,1
10018-18,J.P. Morgan,311
100182-16,Limited Space Events,
100182-25,Evolve Tech Ventures,
100182-52,Chadwick McLean,
10018-27,Hunter Defense Technologies,1
10018-36,Real Mex Restaurants,
100184-50,Atom Bank,
100184-59,Sapwood Investments,2
100184-77,iNES Group,
100184-95,Enerxy,
100185-22,La Confédération National des Buralistes de France,1
100185-31,RTI OJSC,
100185-49,Virgin Media Ireland,1
100185-76,Delta Composants,
100185-85,Avyia Investments Holdings,
100185-94,Verdo,1
100186-21,Elektrosil Systeme der Elektronik,
10018-63,Herlitz,3
100186-39,Clowd,
100187-02,Imento Norge,
10018-72,Behrman Brothers Management,1
100188-55,Dyvi Invest,2
100188-64,Arve Mattson Invest,1
100188-73,Alcides Holdings,1
100188-82,Cambridge Weight Plan,
100189-00,Depository Clearing Co,3
100189-27,SeAH Steel,1
100189-45,Bosideng International Fashion,2
100189-90,Harvest Fancy Hong Kong,1
100190-62,OMG Roofing Products,
10019-08,Insight Communications,
100190-89,Holiday Stationstores,3
100191-16,Diamond Companies,
100191-34,Government of Hungary,7
100191-43,Regent Square Capital,
100191-52,Eurofun Touristik,
10019-17,Apax Partners,399
100191-79,Huami,
100193-32,New Wave Design & Verification,
10019-35,ABS,1
100193-86,Mendota Venture Capital,
100193-95,DJW Advisors,
100194-22,Miton Asset Management,2
10019-44,Champlain Capital,16
100194-49,Ennismore Fund Management,1
100194-67,Meeschaert Capital Partners,2
100194-94,ICICI Bank Eurasia,
100195-03,TechSandBox,
100195-48,John Keells Holdings,2
10019-62,Cessna Aircraft Company,
100196-83,Discovery Africa,
10019-71,Pratt & Whitney,10
100197-10,IRKUT,1
100197-55,Capilano Honey,1
10019-80,Action Pursuit Group,
100198-72,Hennessy Capital,1
100198-99,GoviEx Uranium,
100199-08,DT Asia Investments,
100199-35,Tantech Holdings,1
100199-80,Foothills Exploration,
100200-43,Axiom Holdings,
10020-07,Auriga Partners (Paris),59
100200-97,KLX,
100201-24,Perspecta Trident,
100201-33,Real Consulting Integration & Operation,1
10020-16,Apollo Global Management,254
100201-60,Computershare Investor Services (Jersey),
100201-78,National Electric Vehicle Sweden,
100202-14,Venture Leader Group,
100202-23,Li Qing Zeng,
100202-32,Arniva,
100202-41,Ofis Praim,1
100202-68,Soler & Palau,
100203-13,ACE Group (Canada),
10020-34,Qinetiq,6
100203-85,Destination Travel & Consulting,
100204-03,Lehram Capital Investments,
100204-48,Prohire,
100204-75,Hong Kong Resources Holdings Co.,1
100205-11,Jean Lain Automobiles,
100205-83,Associated Material Handling Industries,
10020-61,RevSpring,
100206-10,Jadranka,
100206-19,KIT - Ekaterinburg,
100206-73,Oneagency.co,
10020-70,Apogen Technologies,1
100207-72,Högbergs Rör i Öregrund,
10020-79,Latham Pool Products,
100207-99,Mid-Kansas Cooperative Association,
10020-88,Bolder Capital,17
100209-79,Japan Radio Company,
100210-33,Groupe BMR,
10021-06,Sixnet,
100210-60,Asia Resources Holdings,
100210-78,Safosa Group,1
100210-96,El Super,
100211-05,Hour Glass,
100211-32,Seamless Green China (Holdings),1
100211-50,Mounting Holdings,
100212-31,Global Smollan Holdings,
100213-03,Fischer Helmut Holding,
100213-21,Mediahuis,
100213-93,Orthos (France),
100214-02,Bilfinger Bauperformance,
100214-11,Frost Insurance Agency,
10021-42,Pepper Hamilton,
100214-38,Ferdinand Piech Holding,
100214-92,CPL Concordia,4
100215-01,Wiit,
10021-51,OMERS Infrastructure Management,14
100215-10,GPI Group,
100215-46,Lutech Group,
100215-64,SolutionPoint International,1
100215-91,Geneva Health International,
10021-60,ChandlerMay,
100216-00,Quickline Communications,
100217-89,Erdenes Tavan Tolgoi,
100218-34,HickoryTech,1
100219-15,Dragon Capital Investments,1
100220-68,Association Aspire,
100220-95,Empresa Para la Gestión de Residuos Industriales,
10022-14,Grotech Ventures,73
